Country,Continent
Botswana,Africa
Cameroon,Africa
Ethiopia,Africa
Eritrea,Africa
The Gambia,Africa
Ghana,Africa
Kenya,Africa
Lesotho,Africa
Liberia,Africa
Malawi,Africa
Mauritius,Africa
Namibia,Africa
Nigeria,Africa
Rwanda,Africa
Seychelles,Africa
Sierra Leone,Africa
South Africa,Africa
South Sudan,Africa
Sudan,Africa
Swaziland,Africa
Tanzania,Africa
Uganda,Africa
Zambia,Africa
Zimbabwe,Africa
India,Asia
Pakistan,Asia
Philippines,Asia
Singapore,Asia
Australia,Australia/Oceania
Fiji,Australia/Oceania
Kiribati,Australia/Oceania
Marshall Islands,Australia/Oceania
Federated States of Micronesia,Australia/Oceania
Nauru,Australia/Oceania
New Zealand,Australia/Oceania
Palau,Australia/Oceania
Papua New Guinea,Australia/Oceania
Samoa,Australia/Oceania
Solomon Islands,Australia/Oceania
Tonga,Australia/Oceania
Tuvalu,Australia/Oceania
Vanuatu,Australia/Oceania
Antigua and Barbuda,Americas
The Bahamas,Americas
Barbados,Americas
Belize,Americas
Canada,Americas
Dominica,Americas
Grenada,Americas
Guyana,Americas
Jamaica,Americas
Saint Kitts and Nevis,Americas
Saint Lucia,Americas
Saint Vincent and the Grenadines,Americas
Trinidad and Tobago,Americas
United States,Americas
Ireland,Europe
Malta,Europe
United Kingdom,Europe
